country,currency,supermarket,id,ean,name,brand,category,url,image_links
ES,EUR,EROSKI-MARKETPLACE,23056930,5030917288067,"Blizzard Overwatch - Legendary Edition Completa Alemán, Inglés, Chino simplificado",BLIZZARD,Electrónica > Consolas y videojuegos > Juegos > Juegos Nintendo Switch,https://supermercado.eroski.es/es/productdetail/23056930-blizzard-overwatch---legendary-edition-completa-aleman-ingles-chino-simplificado/,https://eroski.eroski-gcp.global.worldline-solutions.com/imagesMarket/23056930_3_x.webp
ES,EUR,EROSKI-MARKETPLACE,23056930,5030917288067,"Blizzard Overwatch - Legendary Edition Completa Alemán, Inglés, Chino simplificado",BLIZZARD,Electrónica > Consolas y videojuegos > Juegos > Juegos Nintendo Switch,https://supermercado.eroski.es/es/productdetail/23056930-blizzard-overwatch---legendary-edition-completa-aleman-ingles-chino-simplificado/,https://eroski.eroski-gcp.global.worldline-solutions.com/imagesMarket/23056930_4_x.webp
ES,EUR,EROSKI-MARKETPLACE,23056930,5030917288067,"Blizzard Overwatch - Legendary Edition Completa Alemán, Inglés, Chino simplificado",BLIZZARD,Electrónica > Consolas y videojuegos > Juegos > Juegos Nintendo Switch,https://supermercado.eroski.es/es/productdetail/23056930-blizzard-overwatch---legendary-edition-completa-aleman-ingles-chino-simplificado/,https://eroski.eroski-gcp.global.worldline-solutions.com/imagesMarket/23056930_5_x.webp
ES,EUR,EROSKI-MARKETPLACE,23056930,5030917288067,"Blizzard Overwatch - Legendary Edition Completa Alemán, Inglés, Chino simplificado",BLIZZARD,Electrónica > Consolas y videojuegos > Juegos > Juegos Nintendo Switch,https://supermercado.eroski.es/es/productdetail/23056930-blizzard-overwatch---legendary-edition-completa-aleman-ingles-chino-simplificado/,https://eroski.eroski-gcp.global.worldline-solutions.com/imagesMarket/23056930_6_x.webp
ES,EUR,EROSKI-MARKETPLACE,mp12022,8023171045252,505 Games Assetto Corsa Competizione Estándar PlayStation 4,505 GAMES,Electrónica > Consolas y videojuegos > Juegos > Juegos PlayStation,https://supermercado.eroski.es/es/productdetail/mp12022-505-games-assetto-corsa-competizione-estandar-playstation-4/,https://eroski.eroski-gcp.global.worldline-solutions.com/imagesMarket/MP12022_1_x.webp
ES,EUR,EROSKI-MARKETPLACE,mp12022,8023171045252,505 Games Assetto Corsa Competizione Estándar PlayStation 4,505 GAMES,Electrónica > Consolas y videojuegos > Juegos > Juegos PlayStation,https://supermercado.eroski.es/es/productdetail/mp12022-505-games-assetto-corsa-competizione-estandar-playstation-4/,https://eroski.eroski-gcp.global.worldline-solutions.com/imagesMarket/MP12022_2_x.webp
ES,EUR,EROSKI-MARKETPLACE,mp12022,8023171045252,505 Games Assetto Corsa Competizione Estándar PlayStation 4,505 GAMES,Electrónica > Consolas y videojuegos > Juegos > Juegos PlayStation,https://supermercado.eroski.es/es/productdetail/mp12022-505-games-assetto-corsa-competizione-estandar-playstation-4/,https://eroski.eroski-gcp.global.worldline-solutions.com/imagesMarket/MP12022_3_x.webp
ES,EUR,EROSKI-MARKETPLACE,mp12022,8023171045252,505 Games Assetto Corsa Competizione Estándar PlayStation 4,505 GAMES,Electrónica > Consolas y videojuegos > Juegos > Juegos PlayStation,https://supermercado.eroski.es/es/productdetail/mp12022-505-games-assetto-corsa-competizione-estandar-playstation-4/,https://eroski.eroski-gcp.global.worldline-solutions.com/imagesMarket/MP12022_4_x.webp
ES,EUR,EROSKI-MARKETPLACE,mp12022,8023171045252,505 Games Assetto Corsa Competizione Estándar PlayStation 4,505 GAMES,Electrónica > Consolas y videojuegos > Juegos > Juegos PlayStation,https://supermercado.eroski.es/es/productdetail/mp12022-505-games-assetto-corsa-competizione-estandar-playstation-4/,https://eroski.eroski-gcp.global.worldline-solutions.com/imagesMarket/MP12022_5_x.webp
ES,EUR,EROSKI-MARKETPLACE,mp12022,8023171045252,505 Games Assetto Corsa Competizione Estándar PlayStation 4,505 GAMES,Electrónica > Consolas y videojuegos > Juegos > Juegos PlayStation,https://supermercado.eroski.es/es/productdetail/mp12022-505-games-assetto-corsa-competizione-estandar-playstation-4/,https://eroski.eroski-gcp.global.worldline-solutions.com/imagesMarket/MP12022_6_x.webp
